form_id,form_number,form_title,purpose,related_section_or_rule,source_url,source_reference,verification_status,notes
IN-PF-1,Form 1,Application for Grant of Patent,Official form for application for grant of patent,"Sections 7, 54, 135; Rule 20(1)",https://ipindia.gov.in/acts/patent-rules-2003/form-1,IP-IN-RULES-2003,Verified,
IN-PF-2,Form 2,Provisional / Complete Specification,Official form for provisional / complete specification,Section 9; Rule 13,https://ipindia.gov.in/acts/patent-rules-2003/form-2,IP-IN-RULES-2003,Verified,
IN-PF-3,Form 3,Statement and undertaking under Section 8,Official form for statement and undertaking under section 8,Section 8; Rule 12,https://ipindia.gov.in/acts/patent-rules-2003/form-3,IP-IN-RULES-2003,Verified,
IN-PF-4,Form 4,Request for Extension of Time or Condonation of Delay,Official form for request for extension of time or condonation of delay,Rule 138,https://ipindia.gov.in/acts/patent-rules-2003/form-4,IP-IN-RULES-2003,Verified,
IN-PF-5,Form 5,Declaration as to Inventorship,Official form for declaration as to inventorship,Section 10(6); Rule 13(6),https://ipindia.gov.in/acts/patent-rules-2003/form-5,IP-IN-RULES-2003,Verified,
IN-PF-6,Form 6,Claim or request regarding any change in applicant for Patent,Official form for claim or request regarding any change in applicant for patent,,https://ipindia.gov.in/acts/patent-rules-2003/form-6,IP-IN-RULES-2003,Verified,
IN-PF-7,Form 7,Notice of Opposition,Official form for notice of opposition,Section 25(2); Rule 55A,https://ipindia.gov.in/acts/patent-rules-2003/form-7,IP-IN-RULES-2003,Verified,
IN-PF-7A,Form 7A,Representation for Opposition to Grant of Patent,Official form for representation for opposition to grant of patent,Section 25(1); Rule 55,https://ipindia.gov.in/acts/patent-rules-2003/form-7a,IP-IN-RULES-2003,Verified,
IN-PF-8,Form 8,Request or Claim regarding mention of Inventor as such in a Patent,Official form for request or claim regarding mention of inventor as such in a patent,Section 28; Rule 66,https://ipindia.gov.in/acts/patent-rules-2003/form-8,IP-IN-RULES-2003,Verified,
IN-PF-8A,Form 8A,Certificate of Inventorship,Official form for certificate of inventorship,,https://ipindia.gov.in/acts/patent-rules-2003/form-8a,IP-IN-RULES-2003,Verified,
IN-PF-9,Form 9,Request for Publication,Official form for request for publication,Section 11A(2); Rule 24A,https://ipindia.gov.in/acts/patent-rules-2003/form-9,IP-IN-RULES-2003,Verified,
IN-PF-10,Form 10,Application for Amendment of Patent,Official form for application for amendment of patent,Section 57; Rule 81,https://ipindia.gov.in/acts/patent-rules-2003/form-10,IP-IN-RULES-2003,Verified,
IN-PF-11,Form 11,Application for Direction of the Controller,Official form for application for direction of the controller,,https://ipindia.gov.in/acts/patent-rules-2003/form-11,IP-IN-RULES-2003,Verified,
IN-PF-12,Form 12,Request for Grant of Patent,Official form for request for grant of patent,,https://ipindia.gov.in/acts/patent-rules-2003/form-12,IP-IN-RULES-2003,Verified,
IN-PF-13,Form 13,Application for amendment,Official form for application for amendment,Section 57; Rule 81,https://ipindia.gov.in/acts/patent-rules-2003/form-13,IP-IN-RULES-2003,Verified,
IN-PF-14,Form 14,Notice of opposition,Official form for notice of opposition,,https://ipindia.gov.in/acts/patent-rules-2003/form-14,IP-IN-RULES-2003,Verified,
IN-PF-15,Form 15,Application for restoration,Official form for application for restoration,,https://ipindia.gov.in/acts/patent-rules-2003/form-15,IP-IN-RULES-2003,Verified,
IN-PF-16,Form 16,Application for registration,Official form for application for registration,,https://ipindia.gov.in/acts/patent-rules-2003/form-16,IP-IN-RULES-2003,Verified,
IN-PF-17,Form 17,Application for compulsory licence,Official form for application for compulsory licence,,https://ipindia.gov.in/acts/patent-rules-2003/form-17,IP-IN-RULES-2003,Verified,
IN-PF-18,Form 18,Request for examination,Official form for request for examination,Section 11B; Rule 24B,https://ipindia.gov.in/acts/patent-rules-2003/form-18,IP-IN-RULES-2003,Verified,
IN-PF-18A,Form 18A,Expedited Examination,Official form for expedited examination,Rule 24C,https://ipindia.gov.in/acts/patent-rules-2003/form-18a,IP-IN-RULES-2003,Verified,
IN-PF-19,Form 19,Revocation for non working,Official form for revocation for non working,,https://ipindia.gov.in/acts/patent-rules-2003/form-19,IP-IN-RULES-2003,Verified,
IN-PF-20,Form 20,Revision of licence terms,Official form for revision of licence terms,,https://ipindia.gov.in/acts/patent-rules-2003/form-20,IP-IN-RULES-2003,Verified,
IN-PF-21,Form 21,Termination of licence,Official form for termination of licence,,https://ipindia.gov.in/acts/patent-rules-2003/form-21,IP-IN-RULES-2003,Verified,
IN-PF-22,Form 22,Patent agent registration,Official form for patent agent registration,,https://ipindia.gov.in/acts/patent-rules-2003/form-22,IP-IN-RULES-2003,Verified,
IN-PF-23,Form 23,Restoration of agent name,Official form for restoration of agent name,,https://ipindia.gov.in/acts/patent-rules-2003/form-23,IP-IN-RULES-2003,Verified,
IN-PF-24,Form 24,Review / setting aside order,Official form for review / setting aside order,,https://ipindia.gov.in/acts/patent-rules-2003/form-24,IP-IN-RULES-2003,Verified,
IN-PF-25,Form 25,Permission for filing outside India,Official form for permission for filing outside india,,https://ipindia.gov.in/acts/patent-rules-2003/form-25,IP-IN-RULES-2003,Verified,
IN-PF-26,Form 26,Authorisation of agent,Official form for authorisation of agent,,https://ipindia.gov.in/acts/patent-rules-2003/form-26,IP-IN-RULES-2003,Verified,
IN-PF-27,Form 27,Working of patent,Official form for working of patent,Section 146(2); Rule 131(1),https://ipindia.gov.in/acts/patent-rules-2003/form-27,IP-IN-RULES-2003,Verified,
IN-PF-28,Form 28,Small entity / startup form,Official form for small entity / startup form,,https://ipindia.gov.in/acts/patent-rules-2003/form-28,IP-IN-RULES-2003,Verified,
IN-PF-29,Form 29,Withdrawal of application,Official form for withdrawal of application,,https://ipindia.gov.in/acts/patent-rules-2003/form-29,IP-IN-RULES-2003,Verified,
IN-PF-30,Form 30,General form,Official form for general form,,https://ipindia.gov.in/acts/patent-rules-2003/form-30,IP-IN-RULES-2003,Verified,
IN-PF-31,Form 31,Grace Period,Official form for grace period,,https://ipindia.gov.in/acts/patent-rules-2003/form-31,IP-IN-RULES-2003,Verified,
IN-PF-OF,FORM OF PATENT,FORM OF PATENT,Official form for form of patent,,https://ipindia.gov.in/acts/patent-rules-2003/form-of-patent,IP-IN-RULES-2003,Verified,
