provision_id,instrument,instrument_year,provision_type,chapter,section_or_rule,title,topic,summary,relevance_to_ayurveda,relevance_to_traditional_knowledge,relevance_to_biodiversity,relevance_to_patentability,source_url,source_reference,verification_status,notes
IN-PA-S2-1-j,Patents Act,1970,Section,I,2(1)(j),Definitions and interpretation - invention,"novelty, industrial applicability","""invention"" means a new product or process involving an inventive step and capable of industrial application.",Low,Low,Low,High,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Fundamental definition establishing criteria for patentability.
IN-PA-S2-1-ja,Patents Act,1970,Section,I,2(1)(ja),Definitions and interpretation - inventive step,inventive step,"""inventive step"" means a feature of an invention that involves technical advance as compared to the existing knowledge or having economic significance or both and that makes the invention not obvious to a person skilled in the art.",Medium,High,Low,High,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Critical for fighting patent applications that merely combine traditional knowledge.
IN-PA-S3-b,Patents Act,1970,Section,II,3(b),What are not inventions - contrary to public order/morality,exclusions from patentability,"An invention, the primary or intended use or commercial exploitation of which could be contrary to public order or morality or which causes serious prejudice to human, animal or plant life or health or to the environment.",Medium,Medium,High,High,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Used to protect plant life and environment.
IN-PA-S3-c,Patents Act,1970,Section,II,3(c),What are not inventions - discovery of living thing or non-living substance,"exclusions from patentability, biological material",The mere discovery of a scientific principle or the formulation of an abstract theory or discovery of any living thing or non-living substance occurring in nature.,High,Medium,High,High,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Directly prevents the patenting of naturally occurring medicinal plants and minerals.
IN-PA-S3-d,Patents Act,1970,Section,II,3(d),What are not inventions - mere discovery of a new form of known substance,exclusions from patentability,"The mere discovery of a new form of a known substance which does not result in the enhancement of the known efficacy of that substance or the mere discovery of any new property or new use for a known substance or of the mere use of a known process, machine or apparatus unless such known process results in a new product or employs at least one new reactant.",High,High,Medium,High,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Prevents patenting of new forms (like extracts) of known Ayurvedic substances unless significant efficacy enhancement is proven.
IN-PA-S3-e,Patents Act,1970,Section,II,3(e),What are not inventions - mere admixture,exclusions from patentability,A substance obtained by a mere admixture resulting only in the aggregation of the properties of the components thereof or a process for producing such substance.,High,High,Medium,High,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Highly relevant for traditional Ayurvedic polyherbal formulations.
IN-PA-S3-p,Patents Act,1970,Section,II,3(p),What are not inventions - traditional knowledge,"exclusions from patentability, traditional knowledge","An invention which in effect, is traditional knowledge or which is an aggregation or duplication of known properties of traditionally known component or components.",Highest,Highest,High,High,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,The most critical section for TKDL integration. Expressly prohibits patenting of TK.
IN-PA-S10-4-d,Patents Act,1970,Section,III,10(4)(ii)(D),Contents of specifications - disclosure of biological material,"disclosure of source/geographical origin, biological material","If the applicant mentions a biological material in the specification which may not be described in such a way as to satisfy clauses (a) and (b), and if such material is not available to the public, the application shall be completed by depositing the material... and disclose the source and geographical origin of the biological material in the specification, when used in an invention.",High,Medium,Highest,High,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Mandates disclosure of source/origin of Indian biological resources used in inventions.
IN-PA-S11B,Patents Act,1970,Section,IV,11B,Request for examination,patent examination,No application for a patent shall be examined unless the applicant or any other interested person makes a request in the prescribed manner within the prescribed period.,Low,Low,Low,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Procedural context for patent processing.
IN-PA-S25-1-j,Patents Act,1970,Section,V,25(1)(j),Opposition to the patent (Pre-grant) - non-disclosure of biological material,"opposition, biological material, disclosure of source/geographical origin",Pre-grant opposition ground: that the complete specification does not disclose or wrongly mentions the source or geographical origin of biological material used for the invention.,High,Medium,Highest,Medium,https://ipindia.gov.in/writereaddata/Portal/ev/rules/pdf/Patents_Act_1970.pdf,IP-IN-ACT-1970,Verified,Enables third parties to oppose patents that fail to disclose or falsely claim source of biological material.
