source_text_id,system,title,author,editor,publisher,edition,publication_year,description,tkdl_url,source_type
TKDL-AYU-BK-001,Ayurveda,Abhinava Navajivanam,,Compiled by Acharya Siddhinandan Mishra,"Chaukhamba Orientalia (Varanasi), 1st edition 2000",1st edition,2000,"Compiled by Acharya Siddhinandan Mishra, Published by Chaukhamba Orientalia (Varanasi), 1st edition 2000",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-002,Ayurveda,Agnipuranam,,Translated by Trinisha Jha and Ghanshyam Tripathi,"Hindi Sahitya Sammelana, Prayaya",Edn. 2nd,1998,"Translated by Trinisha Jha and Ghanshyam Tripathi, Published by Hindi Sahitya Sammelana, Prayaya, Edn. 2nd 1998",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-003,Ayurveda,Anandakanda,Manthana Bhairava,Edited with Tamil translation by S.V. Radhakrishna Shastri,"T.M.S.S.M. Library, Tanjore",Edn. 1st,1952,"Edited with Tamil translation by S.V. Radhakrishna Shastri, Published by T.M.S.S.M. Library, Tanjore, Madras,  Edn. 1st  1952",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-004,Ayurveda,Anangaranga,Kalyanamalla,Edited by Ramasagar Tripathi,"Chaukhambha Sanskrit Pratisthan, Ed 1st Reprint 1999",,1999,"Edited by Ramasagar Tripathi, Published by Chaukhambha Sanskrit Pratisthan, Ed 1st Reprint 1999",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-005,Ayurveda,Anupana Manjari,Acharya Vishram,,"Gujarat Ayurveda University Jamnagar, Gujarat. Edn. 1972",Edn. 1972,1972,"Published by Gujarat Ayurveda University Jamnagar, Gujarat. Edn. 1972",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-006,Ayurveda,Arkaprakash,Lankapatiravana,,"Krishnadas Academy, Varanasi",Edn. 1st,1995,"Edited and translation by Indradeva Tripathi, Published by Krishnadas Academy, Varanasi, Edn. 1st 1995",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-007,Ayurveda,Aryabhishaka (Hindustana Cha Vaidyaraja),Shankaradajishastripade,,"Ramesh Vitthal Raghuvanshi, Published by Shri Gajanana Book Dipot",,1973,"Published by Ramesh Vitthal Raghuvanshi, Published by Shri Gajanana Book Dipot, Bhavanishankara road, Dadara, Mumbai on 15th August 1973",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-008,Ayurveda,Asava Vigyan,Swami Harisharanananda Vaidya,Translated by Swami Harisharanananda Vaidya,"The Punjab Ayurvedic Pharmacy, Amritsar",3rd edition,2000,"Translated by Swami Harisharanananda Vaidya, Published by The Punjab Ayurvedic Pharmacy, Amritsar, 3rd edition 2000",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-009,Ayurveda,Ashavashastram,Nakula,,"S. Gopalan,T.M.S.S.M. Library",Edn. 1952,1952,"Published by S. Gopalan,T.M.S.S.M. Library, Govt. of Madras,Tanjore, Edn. 1952",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
TKDL-AYU-BK-010,Ayurveda,Ashtanga Hridaya,Vagabhata,edited by Bhishagacharya Harishastri Paradakara Vaidya,"Chaukhamba Orientalia, Varanasi",Edn. 8th,1998,"Commentary by Arunadutta edited by Bhishagacharya Harishastri Paradakara Vaidya, Published by Chaukhamba Orientalia, Varanasi, Edn. 8th,1998",https://tkdl.res.in/tkdl/core/Common/AyurvedaBooksList.asp,classical_text
