entity_id,property_name_sanskrit,property_name_english,tkdl_original_text,verification_status,source_id
TKDL-E0582,pravāta,,prav¢ta,encoding_mapped,TKDL-001
TKDL-E0583,Sarvarogahara,,Sarvarogahara,verified,TKDL-001
TKDL-E0584,āmahara,,¢mahara,encoding_mapped,TKDL-001
TKDL-E0585,dhātuvśddhikara,,dh¢tuv¨ddhikara,encoding_mapped,TKDL-001
TKDL-E0586,saṛjñāhara,,sa¼j®¢hara,encoding_mapped,TKDL-001
TKDL-E0587,vedanāsthāpana,,vedan¢sth¢pana,encoding_mapped,TKDL-001
TKDL-E0588,rasāyana,,ras¢yana,encoding_mapped,TKDL-001
TKDL-E0589,valināṇaka,,valin¢ºaka,encoding_mapped,TKDL-001
TKDL-E0590,jvarahara,,jvarahara,verified,TKDL-001
TKDL-E0591,vśṣya / vāj¤karaīa,,v¨¾ya / v¢j¤kara´a,encoding_mapped,TKDL-001
TKDL-E0592,d¤pana,,d¤pana,unmapped_high_bytes_present,TKDL-001
TKDL-E0593,annadveṣa,,annadve¾a,encoding_mapped,TKDL-001
TKDL-E0594,cakṣuṣya,,cak¾u¾ya,encoding_mapped,TKDL-001
TKDL-E0595,Kesya,,Kesya,verified,TKDL-001
TKDL-E0596,kaī°hya,,ka´°hya,encoding_mapped,TKDL-001
TKDL-E0597,svarya,,svarya,verified,TKDL-001
TKDL-E0598,Stana dardhyakara,,Stana dardhyakara,verified,TKDL-001
TKDL-E0599,hśdya,,h¨dya,encoding_mapped,TKDL-001
TKDL-E0600,bastiṇodhana,,bastiºodhana,encoding_mapped,TKDL-001
TKDL-E0601,mukhaviṇodhana,,mukhaviºodhana,encoding_mapped,TKDL-001
TKDL-E0602,varīya,,var´ya,encoding_mapped,TKDL-001
TKDL-E0603,Prajasthapaka,,Prajasthapaka,verified,TKDL-001
TKDL-E0604,avarodhana,,avarodhana,verified,TKDL-001
TKDL-E0605,divāsvapna,,div¢svapna,encoding_mapped,TKDL-001
TKDL-E0606,harṣaīa,,har¾a´a,encoding_mapped,TKDL-001
TKDL-E0607,Chedana,,Chedana,verified,TKDL-001
TKDL-E0608,grāh¤,,gr¢h¤,encoding_mapped,TKDL-001
TKDL-E0609,gurū,,gur¦,encoding_mapped,TKDL-001
TKDL-E0610,Ojovardhaka,,Ojovardhaka,verified,TKDL-001
TKDL-E0611,kaphavardhaka,,kaphavardhaka,verified,TKDL-001
TKDL-E0612,sukhaprasavakara,,sukhaprasavakara,verified,TKDL-001
TKDL-E0613,medhya,,medhya,verified,TKDL-001
TKDL-E0614,Adrsya,,Adrsya,verified,TKDL-001
TKDL-E0615,Kaphahara / Slesmahara,,Kaphahara / Slesmahara,verified,TKDL-001
TKDL-E0616,kaphapittahara,,kaphapittahara,verified,TKDL-001
TKDL-E0617,kāntikara / prabhākara,,k¢ntikara / prabh¢kara,encoding_mapped,TKDL-001
TKDL-E0618,smśtivardhaka,,sm¨tivardhaka,encoding_mapped,TKDL-001
TKDL-E0619,cittaprasādaka,,cittapras¢daka,encoding_mapped,TKDL-001
TKDL-E0620,rūkṣa,,r¦k¾a,encoding_mapped,TKDL-001
TKDL-E0621,pauṣ°ika,,pau¾°ika,encoding_mapped,TKDL-001
TKDL-E0622,dāhapraṇamana,,d¢hapraºamana,encoding_mapped,TKDL-001
TKDL-E0623,ṇ¤tapraṇamana,,º¤tapraºamana,encoding_mapped,TKDL-001
TKDL-E0624,tridoṣaghna,,trido¾aghna,encoding_mapped,TKDL-001
TKDL-E0625,pittahara,,pittahara,verified,TKDL-001
TKDL-E0626,Brmhaniya,,Brmhaniya,verified,TKDL-001
TKDL-E0627,rocana,,rocana,verified,TKDL-001
TKDL-E0628,agnivardhana,,agnivardhana,verified,TKDL-001
TKDL-E0629,liṛgavśddhikara,,li¼gav¨ddhikara,encoding_mapped,TKDL-001
TKDL-E0630,āyuṣya,,¢yu¾ya,encoding_mapped,TKDL-001
TKDL-E0631,rajoṇuddhikara,,rajoºuddhikara,encoding_mapped,TKDL-001
TKDL-E0632,ṇoīitāsthāpana,,ºo´it¢sth¢pana,encoding_mapped,TKDL-001
TKDL-E0633,ṇukrastambhana,,ºukrastambhana,encoding_mapped,TKDL-001
TKDL-E0634,ṇukrajanana,,ºukrajanana,encoding_mapped,TKDL-001
TKDL-E0635,str¤ saṛsarga,,str¤ sa¼sarga,encoding_mapped,TKDL-001
TKDL-E0636,amla,,amla,verified,TKDL-001
TKDL-E0637,balya,,balya,verified,TKDL-001
TKDL-E0638,Pacana,,Pacana,verified,TKDL-001
TKDL-E0639,madhura,,madhura,verified,TKDL-001
TKDL-E0640,vamana,,vamana,verified,TKDL-001
TKDL-E0641,snigdha,,snigdha,verified,TKDL-001
TKDL-E0642,sandhān¤ya,,sandh¢n¤ya,encoding_mapped,TKDL-001
TKDL-E0643,bhedan¤ya,,bhedan¤ya,unmapped_high_bytes_present,TKDL-001
TKDL-E0644,vātakaphahara,,v¢takaphahara,encoding_mapped,TKDL-001
TKDL-E0645,vātahara,,v¢tahara,encoding_mapped,TKDL-001
TKDL-E0646,Vatapittahara,,Vatapittahara,verified,TKDL-001
TKDL-E0647,bhramaīa,,bhrama´a,encoding_mapped,TKDL-001
TKDL-E0648,vraīaropaīa,,vra´aropa´a,encoding_mapped,TKDL-001
