entity_id,entity_type,canonical_name,botanical_name,sanskrit_name,hindi_name,unani_name,siddha_name,common_name,synonyms,source_id,source_url,language,verification_status,notes
ENT0001,plant,gu®j¢,Abrus precatorius Linn.,gu®j¢,,Aninud deek/Ghonghchi/Achnata Phal,"Kundrimani, Kundri","crab's eye, jequerity, pois rouge, precatory bean, rosary pea, rosarypea, tento muido, Indian liquorice","Aninud deek/Ghonghchi/Achnata Phal, Kundrimani, Kundri",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0002,plant,babb¦la,Acacia arabica/nillotica Willd.,babb¦la,,Aqaaqia/Mughilaan/Kikar/Babool/Qaraz,Karuvel,"Babul, Black Babul, Indian Gum arabic tree","Aqaaqia/Mughilaan/Kikar/Babool/Qaraz, Karuvel",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0003,plant,khadira,Acacia catechu,khadira,,Khair/Kath Safaid,"Karungali, Kashukatti, Vodalai, Vodalam",cutch tree,"Khair/Kath Safaid, Karungali, Kashukatti, Vodalai, Vodalam",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0004,plant,º¨¼gika vi¾a,Aconitum chasmanthum Stapf & Holmes / Aconitum ferox Wall. ex Ser.,º¨¼gika vi¾a,,,,Indian aconite,,TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0005,plant,vatsan¢bha bheda,Aconitum ferox Wall. ex Ser.,vatsan¢bha bheda,,Khaaniq-al-Zeb,"Vasha naabi,Vidam,Pachai naabi, Vishnanuir",Indian aconite,"Khaaniq-al-Zeb, Vasha naabi,Vidam,Pachai naabi, Vishnanuir",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0006,plant,ativi¾¢,Aconitum heterophyllum Wall. ex Royle,ativi¾¢,,Atees/Patees,"Ahividayam,Pangurai,Madiri",indian atees,"Atees/Patees, Ahividayam,Pangurai,Madiri",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0007,plant,vac¢,Acorus calamus Linn.,vac¢,,Waj-e-Turki,"Vasambu, Suduvaan, Uraippaan, Paersollaamarundhu, Pillaimarundhu, Vasamber","calamus, sweetflag","Waj-e-Turki, Vasambu, Suduvaan, Uraippaan, Paersollaamarundhu, Pillaimarundhu, Vasamber",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0008,plant,bilva,Aegle marmelos Correa ex Roxb.,bilva,,Bil/ Bel / Belgiri / Bael / Safarjal Hindi / Shull / Ball / Tull /Nall,"Vilvam ,koovilum,sivathurumum, Maaloram, Vilvo",Indian bael,"Bil/ Bel / Belgiri / Bael / Safarjal Hindi / Shull / Ball / Tull /Nall, Vilvam ,koovilum,sivathurumum, Maaloram, Vilvo",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0009,plant,a¼ko°a,Alangium salviifolium,a¼ko°a,,Aankola/Dhira/Anbaku,"Azhinjil,Semmaram,Sei",,"Aankola/Dhira/Anbaku, Azhinjil,Semmaram,Sei",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0010,plant,"yav¢saka, dhanvay¢sa",Alhagi maurorum Baker Dexv /  Alhagi pseudalhagi,"yav¢saka, dhanvay¢sa",,Haaj / Turanjabeen/Jawaasa/Jawaansa,"Thurunjibin, Tulganari","camel thorn, persian manna plant","Haaj / Turanjabeen/Jawaasa/Jawaansa, Thurunjibin, Tulganari",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0011,plant,"laºuna, lahasuna",Allium sativum,"laºuna, lahasuna",,Seer,"Poondu, Lasunam, Ulli, Vellaippoondu, Vellulli","Garlic, cultivated garlic","Seer, Poondu, Lasunam, Ulli, Vellaippoondu, Vellulli",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0012,plant,m¢naka,Alocasia macrorrhiza,m¢naka,,,"Merugankilangu, Ulakkai, Kandhaputpi, Musalam",Giant taro,"Merugankilangu, Ulakkai, Kandhaputpi, Musalam",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0013,plant,kum¢r¤,Aloe barbadensis Mill.,kum¢r¤,,Gheekawaar/Sibr,"Katrazhai,Kumari, Chirukatrazhai, Rattabolam, Kariyabolam","Barbedos aloe, Indian aloe, Curacao aloe, Jaffarabad aloe","Gheekawaar/Sibr, Katrazhai,Kumari, Chirukatrazhai, Rattabolam, Kariyabolam",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0014,plant,saptapar´a,Alstonia scholaris,saptapar´a,,Kashim/Chatim,"Ezhilai palai, Mukkampalai, Sapthaparni, Pala",Dita bark,"Kashim/Chatim, Ezhilai palai, Mukkampalai, Sapthaparni, Pala",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0015,plant,sth¦lael¢ bheda,Amomum subulatum Roxb.,sth¦lael¢ bheda,,Heel Kalaan/Qaaqulah Kabeer,"Periya elakkai, Kaattu elam, Aruga sani",Greater or Nepal Cardamom,"Heel Kalaan/Qaaqulah Kabeer, Periya elakkai, Kaattu elam, Aruga sani",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0016,plant,s¦ra´a,Amorphophallus campanulatus,s¦ra´a,,Zamin Kand Beghi/Soran,"Kaaraa karunai, Karanaikilangu, Sooram",Elephant-foot Yam,"Zamin Kand Beghi/Soran, Kaaraa karunai, Karanaikilangu, Sooram",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0017,plant,¢k¢rakarabha,Anacyclus pyrethrum DC.,¢k¢rakarabha,,Aaqarqarha /Oodul-Qarah,"Akrakaaram, Akkirakaaram","Pellitory of Spain, Pyrethrum","Aaqarqarha /Oodul-Qarah, Akrakaaram, Akkirakaaram",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0018,plant,"bh¦nimba, k¢lamegha",Andrographis paniculata,"bh¦nimba, k¢lamegha",,,"Nila vembu,Kriyaathu,Anaariathitham,Shiratkuchi,Koganam",false waterwillow,"Nila vembu,Kriyaathu,Anaariathitham,Shiratkuchi,Koganam",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0019,plant,ºat¢hv¢,Anethum sowa Roxb. ex Flem.,ºat¢hv¢,,Shibt/Soya,"Sadha kuppai,Soyi keerai vidhai,Madhurikai, Sadhaputphi","Indian Dill, Sowa","Shibt/Soya, Sadha kuppai,Soyi keerai vidhai,Madhurikai, Sadhaputphi",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0020,plant,coraka,Angelica glauca Edgew.,coraka,,Hasheeshat-al-Malik,,"angelica, wild celery",Hasheeshat-al-Malik,TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0021,plant,agaru,Aquilaria malaccensis Lam. Syn.,agaru,,Ood Hindi/ Agar/Ood Qimari/Ood Gharqi/Aghaloojan/ Aghalooji,"Akil, Akaru, Poozhil, Kaakathundm, Aggalichandana","Aloewood, Eaglewood, Agarwood","Ood Hindi/ Agar/Ood Qimari/Ood Gharqi/Aghaloojan/ Aghalooji, Akil, Akaru, Poozhil, Kaakathundm, Aggalichandana",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0022,plant,p¦ga,Areca catechu Linn.,p¦ga,,Fufal/Chalia/Chikni Supaari,"Paakku,Kandhi adaikkai,Kamuku",betel palm,"Fufal/Chalia/Chikni Supaari, Paakku,Kandhi adaikkai,Kamuku",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0023,plant,"v¨ddhad¢ruka, bast¢¼tr¤",Argyeria nervosa,"v¨ddhad¢ruka, bast¢¼tr¤",,,"Samuthirapachhai, Samuthira palai, Pey munnai, Ambagar, Sadar palai, Samuthira chogi",Elephant Creeper,"Samuthirapachhai, Samuthira palai, Pey munnai, Ambagar, Sadar palai, Samuthira chogi",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0024,plant,Nala,Arundo donax Linn.,Nala,,Qasab,Korukkai,"giant reed, giantreed","Qasab, Korukkai",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0025,plant,"¹at¢var¤, Med¢-Mah¢med¢",Asparagus racemosus Willd.,"¹at¢var¤, Med¢-Mah¢med¢",,Satawar,"Seemai sathaveri, Ammai kodi, Kadumulla, Mignthavanam, Varivari, Kilavari,Paniyanaku, Thanneervittankizhangu",Indian asparagus,"Satawar, Seemai sathaveri, Ammai kodi, Kadumulla, Mignthavanam, Varivari, Kilavari,Paniyanaku, Thanneervittankizhangu",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0026,plant,Nimba,Azadirachta indica A. Juss.,Nimba,,Neem,"Vembu, Arittam, Nimbam, Paripathiram, Pisumantham, Vepachetta",neem,"Neem, Vembu, Arittam, Nimbam, Paripathiram, Pisumantham, Vepachetta",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0027,plant,Br¢hm¤,Bacopa monnieri,Br¢hm¤,,brahmi,"Neerpirami, Sapthalai, Sarumam, Sambiranipoondu","coastal waterhyssop ,    herb of grace,    herb-of-grace","brahmi, Neerpirami, Sapthalai, Sarumam, Sambiranipoondu",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0028,plant,Ingud¤,Balanites aegyptiaca,Ingud¤,,Ingad/Hingot/Allabakh,Nanjundaan,desert date,"Ingad/Hingot/Allabakh, Nanjundaan",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0029,plant,Dant¤,Baliospermum montanum,Dant¤,,Danti,"Kattamanakku,Niradimuthu, Peyamanakku",,"Danti, Kattamanakku,Niradimuthu, Peyamanakku",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0030,plant,"Va¼ºa, Va¼ºalocana, Ba¼salocana",Bambusa arundinacea,"Va¼ºa, Va¼ºalocana, Ba¼salocana",,Khumairah Bairah/Qirtas sokhtah/Tabasheer/Baans/Nae,"Mungil, Mullumungil, Kazhai, Vaezhai, Thulai, Mulai",bamboo,"Khumairah Bairah/Qirtas sokhtah/Tabasheer/Baans/Nae, Mungil, Mullumungil, Kazhai, Vaezhai, Thulai, Mulai",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0031,plant,Sahacara,Barleria cristata Linn.,Sahacara,,,"Nilachemulli, Udamulli, Vellai neelamlbaram",crested Philippine violet,"Nilachemulli, Udamulli, Vellai neelamlbaram",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0032,plant,Saireyaka,Barleria prionitis Linn.,Saireyaka,,Pya bansa/Jhinti,Semmulli,porcupine flower,"Pya bansa/Jhinti, Semmulli",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0033,plant,Sahacara,Barleria strigosa Willd.,Sahacara,,,"Nilambaram, Nili",,"Nilambaram, Nili",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0034,plant,"Nicula, samudra phala",Barringtonia acutangula,"Nicula, samudra phala",,Samandarphal,"Adambu, Kadappai, Sengadambu",Indian Oak,"Samandarphal, Adambu, Kadappai, Sengadambu",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0035,plant,Upodik¢,Basella alba Linn.,Upodik¢,,Poi/Bachla,"Pasalikkeerai,Kodipasalikkeerai",Ceylon spinach,"Poi/Bachla, Pasalikkeerai,Kodipasalikkeerai",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0036,plant,K¢®can¢ra,Bauhinia variegata Linn.,K¢®can¢ra,,Kachnal/Kachnar,"Segapu manchori, Chemmandarai, Vellai puvathi","butterfly tree , mountain ebony,orchid tree, purple orchid tree","Kachnal/Kachnar, Segapu manchori, Chemmandarai, Vellai puvathi",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0037,plant,k¦¾m¢´²a,Benincasa hispida,k¦¾m¢´²a,,Petha / Mahdayah/Kohila,"Boosani, Kalyana poosani, Poosanikkai",waxgourd,"Petha / Mahdayah/Kohila, Boosani, Kalyana poosani, Poosanikkai",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0038,plant,d¢ruharidr¢,Berberis aristata DC. / Berberis asiatica Roxb. / Berberis lycium Royle,d¢ruharidr¢,,,"Maramanjal, Mullu kalaa, Usi kalaa",Indian Barberry,"Maramanjal, Mullu kalaa, Usi kalaa",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0039,plant,p¢¾¢´a bheda,Bergenia ciliata,p¢¾¢´a bheda,,Pakhan Bed/Kaasar-al-Shajr/Paashaan Bhed,,"aerva ,sessile joyweed",Pakhan Bed/Kaasar-al-Shajr/Paashaan Bhed,TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0040,plant,º¢lmali,Bombax ceiba Linn.,º¢lmali,,Saimul/Sembhal/Mocharas/Salmali,"Mullilavu, Pulai,Poorani,Pongar,Mosam","red silk cottontree, Silk Cotton Tree, Red Cotton Tree","Saimul/Sembhal/Mocharas/Salmali, Mullilavu, Pulai,Poorani,Pongar,Mosam",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0041,plant,k¨¾´aj¤raka,Carum carvi Linn.,k¨¾´aj¤raka,,Karoya / Qirdmana / Qirtmann / Kamoon Kirmaani/ Zeerah Siyaah,"Seemai sombu, kekku vidhai,Seemai sombu","caraway , cumin caraway","Karoya / Qirdmana / Qirtmann / Kamoon Kirmaani/ Zeerah Siyaah, Seemai sombu, kekku vidhai,Seemai sombu",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0042,plant,¢ragvadha,Cassia fistula Linn.,¢ragvadha,,Amaltaas/Kheyaar shanbar,"Kondrai, Aragoram, Idhali, Mathalai,Kiruthaamalam,Aakkuvadham, Konnei, Sarakonrai, Sarakonraipuli",golden shower,"Amaltaas/Kheyaar shanbar, Kondrai, Aragoram, Idhali, Mathalai,Kiruthaamalam,Aakkuvadham, Konnei, Sarakonrai, Sarakonraipuli",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
ENT0043,plant,k¢samarda,Cassia occidentalis Linn.,k¢samarda,,Kasondi,"Nattam takarai, Ponavirai, Peyavirai","coffee senna,septicweed","Kasondi, Nattam takarai, Ponavirai, Peyavirai",TKDL-001,https://tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Name.asp,"sa, en",verified,Extracted from TKDL Ayurveda Keyword Help (plants)
