glossary_id,term,category,definition,tkdl_original_term,source_url,verification_status
GLOS-0001,¡cāra Rasāyana,K¢yacikits¢,"Rules of conduct and behaviour in the society. Regarded as a type of Ras¢yana therapy in ¡yurveda, the term refers to non-pharmacological approach in the form of improved code of conduct, to achieve rejuvenative effects of Ras¢yana like longevity, immunity of the body and improved memory of mind without the use of material Ras¢yana.",¡c¢ra Ras¢yana,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0002,¡dānakāla,K¢yacikits¢,"One of the two divisons of the year in ¡yurveda, which has been mentioned in the seasonal regimen (§tucary¢). ¡d¢na literally means to take away. It represents the northern solstice i.e. the period from winter to summer solstice. It is the period during which energy/ strength is lost from the body due to increasing heat of sun which imparts hot and dry qualities to living beings. It includes three seasons namely: ¹iºira (cold & dewy season), Vasanta (spring season), Gr¤¾ma (summer season).",¡d¢nak¢la,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0003,¡gantuja,Roga Nid¢na,"It signifies the diseases which have an external cause. It refers to the disorders where the painful condition is first produced and is later followed by the disturbance in Do¾a-Dh¢tu equilibrium. Disorders due to injury, poisoning, parasites and germs are categorised under it.",¡gantuja,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,unmapped_high_bytes_present
GLOS-0004,¡hāra,K¢yacikits¢,"The term refers to food in ¡yurveda.Whatever food is eaten or drunk, which not only provides nutrition but satisfies mind and soul, has been mentioned as ¡h¢ra. Regarded as one of the three sub-pillars of healthy living (Upastambha), ¡h¢ra has been given prime importance in ¡yurveda. ¡yurveda believes we are what we eat and all the diseases are also the outcome of faulty food habits.' ¡h¢ra has been furthur classified into two types: wholesome diet (Hita ¡h¢ra) and unwholesome diet (Ahita ¡h¢ra).",¡h¢ra,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0005,¡kāṇa,Pad¢rtha Vij®¢na,"Free Open Space. ¡k¢ºa is regarded as the fifth and most subtle of the five eternal elements or the Pa®camah¢bh¦ta. It is the universal organising principle of space and is thus represented through spaces in human body viz. mouth, nose, respiratory tract etc. Since space is the medium for transmission of sound waves, ¡k¢ºa is characterised by dominant feature of sound (¹abda) and ears are regarded as the sense organs which predominantly have akasa mahabhuta.",¡k¢ºa,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0006,¡locaka Pitta,¹¢r¤rakriy¢,"One of the five subtypes of Pitta. It is located in the eyes and governs the vision, thus enabling one to perceive the forms of objects clearly and meaningfully.",¡locaka Pitta,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,unmapped_high_bytes_present
GLOS-0007,¡māṇaya,Racan¢¹ ¢r¤ra,"Literally the term means the site or receptacle of undigested food (¡ma). The term is used to refer to organs of digestion between navel (N¢bhi) and the breast (Stana). Anatomically, it can be regarded as stomach with upper part of small intestine (duodenum).",¡m¢ºaya,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0008,¡ma,Roga Nid¢na,"Literally the term means unripe, uncooked or immature. In ¡yurveda, it is a generic term used to indicate toxic metabolic residue which is the result of undigested food due to impaired (weak or irregular) Agni. ¡ma is regarded as the root cause of gastro-intestinal as well as systemic disorders.",¡ma,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,unmapped_high_bytes_present
GLOS-0009,¡maya,Roga Nid¢na,"Literally the term means arising due to ¡ma'.  It is used as a synonym of disease in general as ¡ma is the most common cause of all the disorders. See also Vy¢dhi, Gada.",¡maya,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,unmapped_high_bytes_present
GLOS-0010,¡paª,Pad¢rtha Vij®¢na,"The element water. One of the five eternal elements (Pa®camah¢bh¦ta), ¡paª is the universal organising principle of fluidity that characterizes change and movement of all kinds. It is the element without stability, which has dominant characterstic feature of taste (Rasa). Since the element attributes to taste, tongue is regarded as the sense organ which predominantly contains this element. The element is represented through body fluids e.g. blood & lymph.",¡paª,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,unmapped_high_bytes_present
GLOS-0011,¡pta,Pad¢rtha Vij®¢na,"Literally means reached' or obtained'. In ¡yurveda, the term refers to a credible authority or person free from prejudice and emotional influence, the one who tells us about the objects exactly as they are. Such persons are regarded as trustworthy and their words are considered a source of valid knowledge.",¡pta,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,unmapped_high_bytes_present
GLOS-0012,¡ptopadeṇa,Pad¢rtha Vij®¢na,"The term refers to instructions, utterances or communications of the credible persons (¡pta). Regarded as one of the sources of valid knowledge (Pram¢´a) in ¡yurveda, the classical texts also represent a form of ¡ptopadeºa. It is the first among the methods to be employed to ascertain the nature and source of a disease.",¡ptopadeºa,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,encoding_mapped
GLOS-0013,¡rogya,K¢yacikits¢,"Literally the term stands for a state of diseaselessness'. Although used as a synonym of healthful state, health is not merely absence of disease. ¡rogya can be described as condition prior to onset of disease & after the cure of disease.The condition provides practical framework in diagnosis, prognosis, medication and nursing. See Sv¢stha also.",¡rogya,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Ayu_Glossary.asp?GL=Eng,unmapped_high_bytes_present
