entity_id,mineral_name_sanskrit,mineral_name_english,tkdl_original_text,verification_status,source_id
TKDL-E0389,ṇilāj¤ta/ṇilājatu,Black betumin/Mineral Pitch,ºil¢j¤ta/ºil¢jatu,encoding_mapped,TKDL-001
TKDL-E0390,Kaharuva / Trnakanta mani,,Kaharuva / Trnakanta mani,verified,TKDL-001
TKDL-E0391,vi²a lavaīa,,vi²a lava´a,encoding_mapped,TKDL-001
TKDL-E0392,malla,,malla,verified,TKDL-001
TKDL-E0393,manaªṇilā,,manaªºil¢,encoding_mapped,TKDL-001
TKDL-E0394,vaikrānta,,vaikr¢nta,encoding_mapped,TKDL-001
TKDL-E0395,tuttha,,tuttha,verified,TKDL-001
TKDL-E0396,kāṛsya,,k¢¼sya,encoding_mapped,TKDL-001
TKDL-E0397,kharpara,,kharpara,verified,TKDL-001
TKDL-E0398,hiṛgula,,hi¼gula,encoding_mapped,TKDL-001
TKDL-E0399,mākṣika,,m¢k¾ika,encoding_mapped,TKDL-001
TKDL-E0400,gśhadhūma,,g¨hadh¦ma,encoding_mapped,TKDL-001
TKDL-E0401,aṛjana,,a¼jana,encoding_mapped,TKDL-001
TKDL-E0402,svarīa,,svar´a,encoding_mapped,TKDL-001
TKDL-E0403,svarjikākṣāra,,svarjik¢k¾¢ra,encoding_mapped,TKDL-001
TKDL-E0404,maī²ūra,,ma´²¦ra,encoding_mapped,TKDL-001
TKDL-E0405,kās¤sa,,k¢s¤sa,encoding_mapped,TKDL-001
TKDL-E0406,cūrīa,,c¦r´a,encoding_mapped,TKDL-001
TKDL-E0407,kānta pāṣāīa/lauha,,k¢nta p¢¾¢´a/lauha,encoding_mapped,TKDL-001
TKDL-E0408,haritāla,,harit¢la,encoding_mapped,TKDL-001
TKDL-E0409,rasakarpūra,,rasakarp¦ra,encoding_mapped,TKDL-001
TKDL-E0410,Saurastri / Sphatika,,Saurastri / Sphatika,verified,TKDL-001
TKDL-E0411,soraka,,soraka,verified,TKDL-001
TKDL-E0412,Rasa sindura,,Rasa sindura,verified,TKDL-001
TKDL-E0413,gairika,,gairika,verified,TKDL-001
TKDL-E0414,girisindūra,,girisind¦ra,encoding_mapped,TKDL-001
TKDL-E0415,Saindhava lavana,,Saindhava lavana,verified,TKDL-001
TKDL-E0416,spha°ika,,spha°ika,unmapped_high_bytes_present,TKDL-001
TKDL-E0417,sāmudra lavaīa,,s¢mudra lava´a,encoding_mapped,TKDL-001
TKDL-E0418,rajata,,rajata,verified,TKDL-001
TKDL-E0419,Gandhaka,,Gandhaka,verified,TKDL-001
TKDL-E0420,vaṛga,,va¼ga,encoding_mapped,TKDL-001
