entity_id,scientific_name,sanskrit_name,common_name,unani_name,siddha_name,tkdl_original_text,verification_status,source_id
TKDL-E0001,Abrus precatorius Linn.,guñjā,"crab's eye, jequerity, pois rouge, precatory bean, rosary pea, rosarypea, tento muido, Indian liquorice",Aninud deek/Ghonghchi/Achnata Phal,Kundrimani,gu®j¢,encoding_mapped,TKDL-001
TKDL-E0002,Acacia arabica/nillotica Willd.,babbūla,"Babul, Black Babul, Indian Gum arabic tree",Aqaaqia/Mughilaan/Kikar/Babool/Qaraz,Karuvel,babb¦la,encoding_mapped,TKDL-001
TKDL-E0003,Acacia catechu,khadira,cutch tree,Khair/Kath Safaid,Karungali,khadira,verified,TKDL-001
TKDL-E0004,Aconitum chasmanthum Stapf & Holmes / Aconitum ferox Wall. ex Ser.,ṇśṛgika viṣa,Indian aconite,,,º¨¼gika vi¾a,encoding_mapped,TKDL-001
TKDL-E0005,Aconitum ferox Wall. ex Ser.,vatsanābha bheda,Indian aconite,Khaaniq-al-Zeb,Vasha naabi,vatsan¢bha bheda,encoding_mapped,TKDL-001
TKDL-E0006,Aconitum heterophyllum Wall. ex Royle,ativiṣā,indian atees,Atees/Patees,Ahividayam,ativi¾¢,encoding_mapped,TKDL-001
TKDL-E0007,Acorus calamus Linn.,vacā,"calamus, sweetflag",Waj-e-Turki,Vasambu,vac¢,encoding_mapped,TKDL-001
TKDL-E0008,Aegle marmelos Correa ex Roxb.,bilva,Indian bael,Bil/ Bel / Belgiri / Bael / Safarjal Hindi / Shull / Ball / Tull /Nall,Vilvam,bilva,verified,TKDL-001
TKDL-E0009,Alangium salviifolium,aṛko°a,,Aankola/Dhira/Anbaku,Azhinjil,a¼ko°a,encoding_mapped,TKDL-001
TKDL-E0010,Alhagi maurorum Baker Dexv /  Alhagi pseudalhagi,"yavāsaka, dhanvayāsa","camel thorn, persian manna plant",Haaj / Turanjabeen/Jawaasa/Jawaansa,Thurunjibin,"yav¢saka, dhanvay¢sa",encoding_mapped,TKDL-001
TKDL-E0011,Allium sativum,"laṇuna, lahasuna","Garlic, cultivated garlic",Seer,Poondu,"laºuna, lahasuna",encoding_mapped,TKDL-001
TKDL-E0012,Alocasia macrorrhiza,mānaka,Giant taro,Merugankilangu,Ulakkai,m¢naka,encoding_mapped,TKDL-001
TKDL-E0013,Aloe barbadensis Mill.,kumār¤,"Barbedos aloe, Indian aloe, Curacao aloe, Jaffarabad aloe",Gheekawaar/Sibr,Katrazhai,kum¢r¤,encoding_mapped,TKDL-001
TKDL-E0014,Alstonia scholaris,saptaparīa,Dita bark,Kashim/Chatim,Ezhilai palai,saptapar´a,encoding_mapped,TKDL-001
TKDL-E0015,Amomum subulatum Roxb.,sthūlaelā bheda,Greater or Nepal Cardamom,Heel Kalaan/Qaaqulah Kabeer,Periya elakkai,sth¦lael¢ bheda,encoding_mapped,TKDL-001
TKDL-E0016,Amorphophallus campanulatus,sūraīa,Elephant-foot Yam,Zamin Kand Beghi/Soran,Kaaraa karunai,s¦ra´a,encoding_mapped,TKDL-001
TKDL-E0017,Anacyclus pyrethrum DC.,ākārakarabha,"Pellitory of Spain, Pyrethrum",Aaqarqarha /Oodul-Qarah,Akrakaaram,¢k¢rakarabha,encoding_mapped,TKDL-001
TKDL-E0018,Andrographis paniculata,"bhūnimba, kālamegha",false waterwillow,Nila vembu,Kriyaathu,"bh¦nimba, k¢lamegha",encoding_mapped,TKDL-001
TKDL-E0019,Anethum sowa Roxb. ex Flem.,ṇatāhvā,"Indian Dill, Sowa",Shibt/Soya,Sadha kuppai,ºat¢hv¢,encoding_mapped,TKDL-001
TKDL-E0020,Angelica glauca Edgew.,coraka,"angelica, wild celery",Hasheeshat-al-Malik,,coraka,verified,TKDL-001
TKDL-E0021,Aquilaria malaccensis Lam. Syn.,agaru,"Aloewood, Eaglewood, Agarwood",Ood Hindi/ Agar/Ood Qimari/Ood Gharqi/Aghaloojan/ Aghalooji,Akil,agaru,verified,TKDL-001
TKDL-E0022,Areca catechu Linn.,pūga,betel palm,Fufal/Chalia/Chikni Supaari,Paakku,p¦ga,encoding_mapped,TKDL-001
TKDL-E0023,Argyeria nervosa,"vśddhadāruka, bastāṛtr¤",Elephant Creeper,Samuthirapachhai,Samuthira palai,"v¨ddhad¢ruka, bast¢¼tr¤",encoding_mapped,TKDL-001
TKDL-E0024,Arundo donax Linn.,Nala,"giant reed, giantreed",Qasab,Korukkai,Nala,verified,TKDL-001
TKDL-E0025,Asparagus racemosus Willd.,"¹atāvar¤, Medā-Mahāmedā",Indian asparagus,Satawar,Seemai sathaveri,"¹at¢var¤, Med¢-Mah¢med¢",encoding_mapped,TKDL-001
TKDL-E0026,Azadirachta indica A. Juss.,Nimba,neem,Neem,Vembu,Nimba,verified,TKDL-001
TKDL-E0027,Bacopa monnieri,Brāhm¤,"coastal waterhyssop ,    herb of grace,    herb-of-grace",brahmi,Neerpirami,Br¢hm¤,encoding_mapped,TKDL-001
TKDL-E0028,Balanites aegyptiaca,Ingud¤,desert date,Ingad/Hingot/Allabakh,Nanjundaan,Ingud¤,unmapped_high_bytes_present,TKDL-001
TKDL-E0029,Baliospermum montanum,Dant¤,,Danti,Kattamanakku,Dant¤,unmapped_high_bytes_present,TKDL-001
TKDL-E0030,Bambusa arundinacea,"Vaṛṇa, Vaṛṇalocana, Baṛsalocana",bamboo,Khumairah Bairah/Qirtas sokhtah/Tabasheer/Baans/Nae,Mungil,"Va¼ºa, Va¼ºalocana, Ba¼salocana",encoding_mapped,TKDL-001
TKDL-E0031,Barleria cristata Linn.,Sahacara,crested Philippine violet,Nilachemulli,Udamulli,Sahacara,verified,TKDL-001
TKDL-E0032,Barleria prionitis Linn.,Saireyaka,porcupine flower,Pya bansa/Jhinti,Semmulli,Saireyaka,verified,TKDL-001
TKDL-E0033,Barleria strigosa Willd.,Sahacara,,Nilambaram,Nili,Sahacara,verified,TKDL-001
TKDL-E0034,Barringtonia acutangula,"Nicula, samudra phala",Indian Oak,Samandarphal,Adambu,"Nicula, samudra phala",verified,TKDL-001
TKDL-E0035,Basella alba Linn.,Upodikā,Ceylon spinach,Poi/Bachla,Pasalikkeerai,Upodik¢,encoding_mapped,TKDL-001
TKDL-E0036,Bauhinia variegata Linn.,Kāñcanāra,"butterfly tree , mountain ebony,orchid tree, purple orchid tree",Kachnal/Kachnar,Segapu manchori,K¢®can¢ra,encoding_mapped,TKDL-001
TKDL-E0037,Benincasa hispida,kūṣmāī²a,waxgourd,Petha / Mahdayah/Kohila,Boosani,k¦¾m¢´²a,encoding_mapped,TKDL-001
TKDL-E0038,Berberis aristata DC. / Berberis asiatica Roxb. / Berberis lycium Royle,dāruharidrā,Indian Barberry,Maramanjal,Mullu kalaa,d¢ruharidr¢,encoding_mapped,TKDL-001
TKDL-E0039,Bergenia ciliata,pāṣāīa bheda,"aerva ,sessile joyweed",Pakhan Bed/Kaasar-al-Shajr/Paashaan Bhed,,p¢¾¢´a bheda,encoding_mapped,TKDL-001
TKDL-E0040,Bombax ceiba Linn.,ṇālmali,"red silk cottontree, Silk Cotton Tree, Red Cotton Tree",Saimul/Sembhal/Mocharas/Salmali,Mullilavu,º¢lmali,encoding_mapped,TKDL-001
TKDL-E0041,Carum carvi Linn.,kśṣīaj¤raka,"caraway , cumin caraway",Karoya / Qirdmana / Qirtmann / Kamoon Kirmaani/ Zeerah Siyaah,Seemai sombu,k¨¾´aj¤raka,encoding_mapped,TKDL-001
TKDL-E0042,Cassia fistula Linn.,āragvadha,golden shower,Amaltaas/Kheyaar shanbar,Kondrai,¢ragvadha,encoding_mapped,TKDL-001
TKDL-E0043,Cassia occidentalis Linn.,kāsamarda,"coffee senna,septicweed",Kasondi,Nattam takarai,k¢samarda,encoding_mapped,TKDL-001
TKDL-E0044,Cedrela toona Roxb.,"tuī¤, nand¤vśkṣa","Red Cedar, Toon, Indian Mahogany tree",Tun,Sandhana vembu,"tu´¤, nand¤v¨k¾a",encoding_mapped,TKDL-001
TKDL-E0045,Cedrus deodara,devadāru,"pinus deodara, himalayan cedar",Deodar,Devataaru,devad¢ru,encoding_mapped,TKDL-001
TKDL-E0046,Celastrus paniculatus Willd.,jyotiṣmat¤,staff tree,Malkangni/Nammilnaraa,Athi parichan,jyoti¾mat¤,encoding_mapped,TKDL-001
TKDL-E0047,Chenopodium album Linn.,"vāstūka, cill¤","common lambsquarters, lambsquarters, lambsquarters goosefoot, white goosefoot",Bathwa/Qataf/ Sarmaq,Kattasambadam,"v¢st¦ka, cill¤",encoding_mapped,TKDL-001
TKDL-E0048,Chlorophytum tuberosum Baker / Asparagus adscendens Roxb.,muṇal¤ ṇveta,,,,muºal¤ ºveta,encoding_mapped,TKDL-001
TKDL-E0049,Cinnamomum camphora,karpūra,"camphor laurel, camphor tree, camphortree, Camphor",Kafoor,Karpooram,karp¦ra,encoding_mapped,TKDL-001
TKDL-E0050,Cinnamomum cassia,tvak,cassia,Qirfah,Lavangapattai,tvak,verified,TKDL-001
TKDL-E0051,Cinnamomum tamala Nees,"tejapatra, nalikā",indian bark,Sazaj Hindi/ Patraj,Lavangapathri,"tejapatra, nalik¢",encoding_mapped,TKDL-001
TKDL-E0052,Cinnamomum zeylanicum Blume,tvak,cinnamon,Daarchini,Ilavangapattai,tvak,verified,TKDL-001
TKDL-E0053,Cissampelos pareira Linn.,pā°hā,pareira brava,Paatha/Fareed Booti,Appatta,p¢°h¢,encoding_mapped,TKDL-001
TKDL-E0054,Cissus quadrangularis Linn.,"asthisaṛhśta, asthiṇśṛkhalā","Square Stalked Vine, Adamant Creeper",Pirandai,Vajravalli,"asthisa¼h¨ta, asthiº¨¼khal¢",encoding_mapped,TKDL-001
TKDL-E0055,Citrullus colocynthis,indravāruī¤,colocynth,Hanzal,Pei kummatti,indrav¢ru´¤,encoding_mapped,TKDL-001
TKDL-E0056,Citrus limon,"jamb¤ra phala, nimbu",lemon,Utraj/Lemoon,Periya elumichai,"jamb¤ra phala, nimbu",unmapped_high_bytes_present,TKDL-001
TKDL-E0057,Citrus medica Linn.,b¤japūra,citron,Beej Purah/Bajoorah/Turanj/ Naaranj,Elumichai,b¤jap¦ra,encoding_mapped,TKDL-001
TKDL-E0058,Cleome gynandra Linn.,"ajagandhā, tilaparī¤?","spider whisp, spiderflower, spiderwisp",Thai velai,Nalvelai,"ajagandh¢, tilapar´¤?",encoding_mapped,TKDL-001
TKDL-E0059,Clerodendrum divaricatum Jack Syn.,bhāra¬g¤,"Turks Turban, Tube-flower",Baharangi/Bharangi,Ankaravalli,bh¢ra¬g¤,encoding_mapped,TKDL-001
TKDL-E0060,Clerodendrum indicum,bhāraṛg¤,turk's turbin,Baharangi,Kavalai,bh¢ra¼g¤,encoding_mapped,TKDL-001
TKDL-E0061,Clerodendrum multiflorum,"agnimantha laghu, tarkār¤",,Taankal/Taankli/Arnie,Thaluthazhai,"agnimantha laghu, tark¢r¤",encoding_mapped,TKDL-001
TKDL-E0062,Clitoria ternatea Linn.,"aparājitā, ṇa¬khapuṣp¤",Asian pigeonwings,Abrajita,Kakkarattan,"apar¢jit¢, ºa¬khapu¾p¤",encoding_mapped,TKDL-001
TKDL-E0063,Coccinia grandis,bimb¤,"ivy gourd, scarlet-fruited gourd",Kandoori/Bambi,Kovai,bimb¤,unmapped_high_bytes_present,TKDL-001
TKDL-E0064,Cocos nucifera Linn.,nārikela,coconut palm,Narjeel/Naryal,Thenkaai,n¢rikela,encoding_mapped,TKDL-001
TKDL-E0065,Coleus vettiveroides K.C. Jacob /  Valeriana jatamansii Jones Syn.,"hr¤bera, bālaka",,Guru ver,Vetriver,"hr¤bera, b¢laka",encoding_mapped,TKDL-001
TKDL-E0066,Commiphora myrrha,bola,Actiniopteris,Mur Makki / Beja Baul,Vellaippapolam,bola,verified,TKDL-001
TKDL-E0067,Commiphora wightii Bhandari Syn.,guggulu,"Indian Bdellium, Gum Guggul",Muqil,Maisaatchi kungilium,guggulu,verified,TKDL-001
TKDL-E0068,Convolvulus microphyllus Sieb. ex Spreng. Syn.,ṇa¬khapuṣp¤,,,,ºa¬khapu¾p¤,encoding_mapped,TKDL-001
TKDL-E0069,Corallocarpus epigaeus Benth. ex Hook. f.,"ṇukanāsā, nahikā",,Aakaasa karudan,Kollankovai,"ºukan¢s¢, nahik¢",encoding_mapped,TKDL-001
TKDL-E0070,Coriandrum sativum Linn.,dhānyaka,"Chinese parsley, Chinese-parsley, coriander",Kishneez,Kottha malli,dh¢nyaka,encoding_mapped,TKDL-001
